codigo_municipio,departamento,municipio,fallecidos,poblacion
708,SOLOLA,CONCEPCION,0,7105
705,SOLOLA,NAHUALA,18,91523
710,SOLOLA,PANAJACHEL,21,15840
709,SOLOLA,SAN ANDRES SEMETABAJ,9,14640
712,SOLOLA,SAN ANTONIO PALOPO,2,15639
702,SOLOLA,SAN JOSE CHACAYA,7,5128
717,SOLOLA,SAN JUAN LA LAGUNA,3,13123
713,SOLOLA,SAN LUCAS TOLIMAN,8,31581
716,SOLOLA,SAN MARCOS LA LAGUNA,1,2911
715,SOLOLA,SAN PABLO LA LAGUNA,0,7950
718,SOLOLA,SAN PEDRO LA LAGUNA,3,11600
706,SOLOLA,SANTA CATARINA IXTAHUACAN,5,60200
711,SOLOLA,SANTA CATARINA PALOPO,0,4840
707,SOLOLA,SANTA CLARA LA LAGUNA,2,10200
714,SOLOLA,SANTA CRUZ LA LAGUNA,0,7817
704,SOLOLA,SANTA LUCIA UTATLAN,10,21695
703,SOLOLA,SANTA MARIA VISITACION,1,2563
719,SOLOLA,SANTIAGO ATITLAN,10,44025
0,SOLOLA,SIN DATOS,0,0
701,SOLOLA,SOLOLA,47,98886
