V1,municipio,departamento,casos,poblacion,codigo_municipio
1,CONCEPCION,SOLOLA,4,7105,708
2,NAHUALA,SOLOLA,287,91523,705
3,PANAJACHEL,SOLOLA,534,15840,710
4,SAN ANDRES SEMETABAJ,SOLOLA,109,14640,709
5,SAN ANTONIO PALOPO,SOLOLA,25,15639,712
6,SAN JOSE CHACAYA,SOLOLA,45,5128,702
7,SAN JUAN LA LAGUNA,SOLOLA,98,13123,717
8,SAN LUCAS TOLIMAN,SOLOLA,177,31581,713
9,SAN MARCOS LA LAGUNA,SOLOLA,6,2911,716
10,SAN PABLO LA LAGUNA,SOLOLA,8,7950,715
11,SAN PEDRO LA LAGUNA,SOLOLA,86,11600,718
12,SANTA CATARINA IXTAHUACAN,SOLOLA,131,60200,706
13,SANTA CATARINA PALOPO,SOLOLA,12,4840,711
14,SANTA CLARA LA LAGUNA,SOLOLA,36,10200,707
15,SANTA CRUZ LA LAGUNA,SOLOLA,12,7817,714
16,SANTA LUCIA UTATLAN,SOLOLA,185,21695,704
17,SANTA MARIA VISITACION,SOLOLA,9,2563,703
18,SANTIAGO ATITLAN,SOLOLA,192,44025,719
19,SIN DATOS,SOLOLA,14,0,0
20,SOLOLA,SOLOLA,1111,98886,701
