"","edad","sexo","n"
"1","0","Masculino","1"
"2","16","Masculino","1"
"3","26","Masculino","1"
"4","30","Masculino","1"
"5","32","Masculino","3"
"6","33","Femenino","1"
"7","34","Femenino","2"
"8","36","Masculino","3"
"9","38","Masculino","4"
"10","39","Masculino","1"
"11","40","Femenino","1"
"12","40","Masculino","1"
"13","41","Femenino","1"
"14","42","Masculino","1"
"15","43","Masculino","1"
"16","44","Femenino","1"
"17","44","Masculino","3"
"18","45","Femenino","2"
"19","45","Masculino","1"
"20","46","Femenino","1"
"21","46","Masculino","1"
"22","47","Masculino","1"
"23","49","Femenino","1"
"24","49","Masculino","1"
"25","50","Masculino","2"
"26","51","Masculino","2"
"27","52","Masculino","3"
"28","53","Femenino","1"
"29","53","Masculino","1"
"30","54","Femenino","2"
"31","54","Masculino","2"
"32","55","Femenino","1"
"33","55","Masculino","2"
"34","56","Femenino","1"
"35","56","Masculino","4"
"36","57","Femenino","1"
"37","57","Masculino","1"
"38","58","Masculino","2"
"39","59","Masculino","4"
"40","60","Femenino","1"
"41","61","Femenino","1"
"42","61","Masculino","1"
"43","62","Masculino","4"
"44","63","Masculino","5"
"45","64","Femenino","3"
"46","64","Masculino","4"
"47","65","Masculino","3"
"48","66","Masculino","4"
"49","67","Femenino","3"
"50","67","Masculino","3"
"51","68","Masculino","4"
"52","69","Masculino","2"
"53","7","Masculino","1"
"54","70","Femenino","1"
"55","70","Masculino","3"
"56","71","Femenino","2"
"57","71","Masculino","3"
"58","72","Femenino","2"
"59","72","Masculino","2"
"60","73","Masculino","4"
"61","74","Femenino","1"
"62","75","Masculino","3"
"63","76","Femenino","1"
"64","76","Masculino","1"
"65","77","Masculino","2"
"66","78","Masculino","1"
"67","80","Masculino","1"
"68","81","Masculino","2"
"69","82","Femenino","1"
"70","82","Masculino","1"
"71","84","Masculino","2"
"72","86","Masculino","1"
"73","88","Femenino","1"
"74","88","Masculino","1"
"75","94","Masculino","1"
"76","Total","-","140"
